  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
  EventTrace,     Header,            0,          2,          0,          0,          0,          0, 0x0000000000000000, 0x00000970, 0x00005934,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027051511060,          0,          0,     8192, 83951626,    26100,       20, 134024029694124207,   156250,        0, 0x0,       13,        1,        8,        0,     2918, 0x9, 0x6, 134023857865000000,         10000000, 134024027051511060, 0x1,        0, "ACPITrace", "C:\Temp\acpi_providers.etl"
  EventTrace, PartitionInfoExtensionV2,            0,          2,          0,          0,         80,          0, 0x0000000000000000, 0x00000970, 0x00005934,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027051511060,          0,          0,      0,      0,        0,                0, "", "",  0x00000000000000000000000000000000000000000000000000000000
  EventTrace,  BuildInfo,            0,          2,          0,          0,         66,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027051511060,          0,          0, "26100.1.amd64fre.ge_release.240331-1435"
  EventTrace,  DbgIdRSDS,            0,          2,          0,          0,         64,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027051511060,          0,          0, {953a8de8-80b0-818c-32da-2dec1d79c2d9},        1, "ntkrnlmp.pdb"
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027204027873,       8940,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027204029429,       8940,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027204029485,       8940,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027204031124,       8940,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290917802,   13613820,          0,     10, "\_GPE._L02", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290927629,       8550,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290932512,        435,          0,     10, "\_GPE._L02", "finished ",                2
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290932769,        435,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290932912,       8550,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290933133,       8550,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "finished ",                0
