  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
  EventTrace,     Header,            0,          2,          0,          0,          0,          0, 0x0000000000000000, 0x00000860, 0x00001844,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561252858400,         15,          0,     8192, 83951626,    26100,       20, 134024573298324893,   156250,        0, 0x0,      151,        1,        8,        0,     2995, 0xA, 0x7, 134023098885000000,         10000000, 134024561252858400, 0x1,        0, "ACPITrace", "C:\Temp\acpi_providers.etl"
  EventTrace, PartitionInfoExtensionV2,            0,          2,          0,          0,         80,          0, 0x0000000000000000, 0x00000860, 0x00001844,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561252858400,         15,          0,      0,      0,        0,                0, "", "",  0x00000000000000000000000000000000000000000000000000000000
  EventTrace,  BuildInfo,            0,          2,          0,          0,         66,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561252858400,          0,          0, "26100.1.amd64fre.ge_release.240331-1435"
  EventTrace,  DbgIdRSDS,            0,          2,          0,          0,         64,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561252858400,          0,          0, {e6426a07-c26e-66f8-eb85-94621a7b273b},        1, "ntkrnlmp.pdb"
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341652007,        300,         90,     14, "\_SB.ATKD.WMNB", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341655417,        300,         90,     14, "\_SB.ATKD.WMNB", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341656256,        300,         90,     14, "\_SB.ATKD.WMNB", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341659004,        300,         90,     14, "\_SB.ATKD.WMNB", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341659377,        300,         90,     14, "\_SB.ATKD.WMNB", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341661610,        300,         90,     14, "\_SB.ATKD.WMNB", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341661951,        300,         90,     14, "\_SB.ATKD.WMNB", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341663762,        300,         90,     14, "\_SB.ATKD.WMNB", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                   13,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341750293,        315,         90,     14, "\_SB.ATKD.WMNB", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                   13,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561341759666,        315,         90,     14, "\_SB.ATKD.WMNB", "finished ",                1
